date,AAPL,AMZN,GOOGL,FB,GM,AMD,MSFT,MCD,MMM,SHLD,WMT,INTC
2017-11-15,169.08,169.08,1126.69,1036.41,177.95,42.86,11.07,82.98,167.32,209.94283499718,4.17,89.83
2017-11-14,171.34,171.34,1136.84,1041.64,178.07,43.0,11.12,83.626726618705,168.11,211.22539920037,3.81,91.09
2017-11-13,173.97,173.97,1129.17,1041.2,178.77,43.57,11.09,83.507330935252,167.37,210.87741666462,4.12,90.99
2017-11-10,174.67,174.67,1125.35,1044.15,178.46,42.66,11.26,83.447633093525,165.59,210.09197036964,4.57,90.92
2017-11-09,175.88,175.88,1129.13,1047.72,179.3,42.11,11.12,83.666525179856,167.0,210.45983762172,4.6,90.3
2017-11-07,174.81,174.81,1123.17,1052.39,180.25,41.7,12.05,83.845618705036,170.77,210.5493188452,5.0,88.95
2017-11-06,174.25,174.25,1120.66,1042.68,180.17,42.14,11.93,84.044611510791,170.07,209.87323849003,5.24,88.7
2017-11-03,172.5,172.5,1111.6,1049.99,178.92,42.34,11.12,83.716273381295,168.65,210.08202801148,5.17,89.68
2017-11-02,168.11,168.11,1094.22,1042.97,178.92,42.6,10.85,83.626726618705,168.1,208.45148127254,5.43,88.8
2017-11-01,166.89,166.89,1103.68,1042.6,182.66,43.13,10.8,82.761107913669,166.37,209.27669700017,5.13,87.94
2017-10-31,169.04,169.04,1105.28,1033.04,180.06,42.98,10.985,82.761107913669,166.91,208.38188476539,5.51,87.31
2017-10-30,166.72,166.72,1110.85,1033.13,179.87,43.37,10.89,83.467532374101,166.23,206.82093453359,5.64,86.95
2017-10-27,163.05,163.05,1100.95,1033.67,177.88,44.64,11.84,83.387935251799,165.39,208.55090485418,5.75,88.17
2017-10-26,157.41,157.41,972.43,991.42,170.63,45.25,12.005,78.363366906475,164.01,208.62050136133,6.06,88.62
2017-10-25,156.405,156.405,972.91,991.46,170.6,45.13,12.33,78.234021582734,163.55,206.98995462238,5.76,88.52
2017-10-24,157.1,157.1,975.9,988.49,171.8,46.48,14.25,78.462863309353,163.88,206.6519144448,5.99,87.98
